"name","group","party","birth_date","birth_place","link_email","link_twitt","link_fb","link_instagram","link_linkedin","link_website","link_youtube","link_telegram","link_blog","link_europeanblog"
"Saskia Bricmont","Group of the Greens/European Free Alliance","Belgium
						 
							 - Ecologistes Confédérés pour l'Organisation de Luttes Originales (Belgium)","1985-03-16","Tournai","ue[dot]aporue.lraporue[at]tnomcirb.aiksas","https://x.com/saskiabricmont","https://www.facebook.com/saskiabricmont","https://www.instagram.com/saskiabricmont/","https://www.linkedin.com/in/saskiabricmont/","http://saskiabricmont.eu",NA,NA,NA,NA
"Nikolina Brnjac","Group of the European People's Party (Christian Democrats)","Croatia
						 
							 - Hrvatska demokratska zajednica (Croatia)","1978-07-11","Karlovac","ue[dot]aporue.lraporue[at]cajnrb.anilokin","https://x.com/NBrnjac",NA,"https://www.instagram.com/nikolina.brnjac/",NA,NA,NA,NA,NA,NA
"Joachim Stanisław Brudziński","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)","1968-02-04","Świerklaniec","ue[dot]aporue.lraporue[at]iksnizdurb.mihcaoj","https://twitter.com/jbrudzinski","https://www.facebook.com/JoachimBrudzinski","https://www.instagram.com/joachimbrudzinski",NA,"http://brudzinski.pl/","https://www.youtube.com/joachimbrudzinski",NA,NA,NA
"Anna Bryłka","Patriots for Europe Group","Poland
						 
							 - Konfederacja Wolność i Niepodległość (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]aklyrb.anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Markus Buchheit","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]tiehhcub.sukram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tomasz Buczek","Patriots for Europe Group","Poland
						 
							 - Konfederacja Wolność i Niepodległość (Poland)","1986-04-24","Kolbuszowa","ue[dot]aporue.lraporue[at]kezcub.zsamot",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Buda","Group of the European People's Party (Christian Democrats)","Romania
						 
							 - Partidul Naţional Liberal (Romania)","1970-01-11","Com. Românași","ue[dot]aporue.lraporue[at]adub.leinad","https://twitter.com/MEPDanielBuda","https://www.facebook.com/MEPDanielBuda/","https://www.instagram.com/danielbuda.eu/",NA,"http://www.danielbuda.ro/ro/primapagina/",NA,NA,NA,NA
"Waldemar Buda","European Conservatives and Reformists Group","Poland
						 
							 - Prawo i Sprawiedliwość (Poland)",NA,NA,"ue[dot]aporue.lraporue[at]adub.ramedlaw",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Borys Budka","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1978-03-11","Czeladz","ue[dot]aporue.lraporue[at]akdub.syrob","https://x.com/bbudka",NA,"https://www.instagram.com/borysbudka/",NA,NA,NA,NA,NA,NA
"Sebastião Bugalho","Group of the European People's Party (Christian Democrats)","Portugal
						 
							 - Independent (Portugal)",NA,NA,"ue[dot]aporue.lraporue[at]ohlagub.oaitsabes","http://x.com/reis_bugalho","http://www.facebook.com/sebastiao.bugalho","https://www.instagram.com/sebastiao_bugalho/",NA,NA,NA,NA,NA,NA
"Andrzej Buła","Group of the European People's Party (Christian Democrats)","Poland
						 
							 - Platforma Obywatelska (Poland)","1965-08-28","Kluczbork","ue[dot]aporue.lraporue[at]alub.jezrdna","https://x.com/Andrzej_Bula",NA,"https://www.instagram.com/bula.andrzej/",NA,NA,NA,NA,NA,NA
"Udo Bullmann","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1956-06-08","Gießen","ue[dot]aporue.lraporue[at]nnamllub.odu","https://twitter.com/UdoBullmann","https://www.facebook.com/UdoBullmannMEP/","https://www.instagram.com/UdoBullmann/",NA,"http://www.udobullmann.de/",NA,NA,NA,NA
"Delara Burkhardt","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1992-11-03","Hamburg","ue[dot]aporue.lraporue[at]tdrahkrub.araled","https://twitter.com/delarabur","https://www.facebook.com/delarabur","https://www.instagram.com/delarabur",NA,NA,"https://www.youtube.com/channel/UCdnst8BQ86zzBA5_5Pl-FXw",NA,NA,NA
"Jorge Buxadé Villalba","Patriots for Europe Group","Spain
						 
							 - VOX (Spain)","1975-06-16","BARCELONA","ue[dot]aporue.lraporue[at]ablallivedaxub.egroj","https://twitter.com/jorgebuxade","https://www.facebook.com/Jorge-Buxadé-Villalba-264967356864656/","https://www.instagram.com/jorge_buxade/","https://www.bit.ly/492FvK0","https://www.jorgebuxade.es","https://www.youtube.com/@TuvozenEuropa",NA,NA,NA
"Petr Bystron","Europe of Sovereign Nations Group","Germany
						 
							 - Alternative für Deutschland (Germany)",NA,NA,"ue[dot]aporue.lraporue[at]nortsyb.rtep",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaroslav Bžoch","Patriots for Europe Group","Czechia
						 
							 - ANO 2011 (Czechia)","1983-11-30","Teplice","ue[dot]aporue.lraporue[at]hcozb.valsoraj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mélissa Camara","Group of the Greens/European Free Alliance","France
						 
							 - Les Écologistes (France)","1991-11-27","Mont-Saint-Aignan","ue[dot]aporue.lraporue[at]aramac.assilem",NA,NA,"https://www.instagram.com/melissacamara.lille/",NA,NA,NA,NA,NA,NA
"Pascal Canfin","Renew Europe Group","France
						 
							 - Renaissance (France)","1974-08-22","Arras","ue[dot]aporue.lraporue[at]nifnac.lacsap","https://twitter.com/pcanfin?lang=en","https://www.facebook.com/pascal.canfin.7/","https://www.instagram.com/pascal.canfin/?hl=en","https://fr.linkedin.com/in/pascal-canfin",NA,NA,NA,NA,NA
"Nina Carberry","Group of the European People's Party (Christian Democrats)","Ireland
						 
							 - Fine Gael Party (Ireland)","1984-07-21","Dublin","ue[dot]aporue.lraporue[at]yrrebrac.anin","https://x.com/ninacarberry",NA,"https://www.instagram.com/ninacarberrymep/",NA,NA,NA,NA,NA,NA
"Gheorghe Cârciu","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)","1973-04-14","Bixad","ue[dot]aporue.lraporue[at]uicrac.nirolf-ehgroehg",NA,"https://www.facebook.com/gheorgheflorincarciu/",NA,NA,NA,NA,NA,NA,NA
"Damien Carême","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)","1960-11-16","Joeuf","ue[dot]aporue.lraporue[at]emerac.neimad","https://twitter.com/damiencareme",NA,NA,NA,"http://damiencareme.fr",NA,NA,NA,NA
"David Casa","Group of the European People's Party (Christian Democrats)","Malta
						 
							 - Partit Nazzjonalista (Malta)","1968-11-16","Valletta","ue[dot]aporue.lraporue[at]asac.divad","https://twitter.com/DavidCasaMEP","https://www.facebook.com/DavidCasaMEP/","https://www.instagram.com/davidcasamep/",NA,NA,NA,NA,NA,NA
"Daniel Caspary","Group of the European People's Party (Christian Democrats)","Germany
						 
							 - Christlich Demokratische Union Deutschlands (Germany)","1976-04-04","Karlsruhe","ue[dot]aporue.lraporue[at]yrapsac.leinad","https://twitter.com/caspary","https://www.facebook.com/daniel.caspary.mdep/","https://www.instagram.com/dcaspary","https://be.linkedin.com/in/daniel-caspary","http://www.caspary.de","https://www.youtube.com/user/teamcaspary",NA,NA,NA
"Benoit Cassart","Renew Europe Group","Belgium
						 
							 - Mouvement Réformateur (Belgium)","1968-10-02","Liège","ue[dot]aporue.lraporue[at]trassac.tioneb","https://x.com/i/flow/login?redirect_after_login=%2Fbenoitcassart","https://www.facebook.com/benoit.cassart.18/",NA,"https://www.linkedin.com/in/benoit-cassart-89823474/?originalSubdomain=be",NA,NA,NA,NA,NA
"Laurent Castillo","Group of the European People's Party (Christian Democrats)","France
						 
							 - Les Républicains (France)","1962-03-12","Casablanca","ue[dot]aporue.lraporue[at]ollitsac.tnerual","https://x.com/PrLCastillo",NA,"https://www.instagram.com/castillolaurent/",NA,NA,NA,NA,NA,NA
"Pilar Del Castillo Vera","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)","1952-07-31","Nador (Marruecos)","ue[dot]aporue.lraporue[at]ollitsacled.ralip","http://twitter.com/delcastillop",NA,NA,NA,NA,"http://www.youtube.com/user/pdelcastilloeuropa",NA,NA,NA
"Anna Cavazzini","Group of the Greens/European Free Alliance","Germany
						 
							 - Bündnis 90/Die Grünen (Germany)","1982-12-12","Schlüchtern","ue[dot]aporue.lraporue[at]inizzavac.anna","https://twitter.com/anna_cavazzini","https://www.facebook.com/anna.cavazzini.9/","https://www.instagram.com/anna.cavazzini",NA,"https://www.annacavazzini.eu/",NA,NA,NA,NA
"Stefano Cavedagna","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1989-12-09","Bologna","ue[dot]aporue.lraporue[at]angadevac.onafets",NA,"https://www.facebook.com/stefano.cavedagna","https://www.instagram.com/stefanocavedagna/",NA,"https://www.cavedagna.com/",NA,NA,NA,NA
"Susanna Ceccardi","Patriots for Europe Group","Italy
						 
							 - Lega (Italy)","1987-03-19","Pisa","ue[dot]aporue.lraporue[at]idraccec.annasus",NA,"https://www.facebook.com/susannaceccardi/","https://www.instagram.com/susannaceccardi/?hl=de",NA,"https://www.susannaceccardi.it/",NA,NA,NA,NA
"José Cepeda","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Spain
						 
							 - Partido Socialista Obrero Español (Spain)","1968-07-19","Ciudad Real","ue[dot]aporue.lraporue[at]adepec.esoj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Estelle Ceulemans","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Belgium
						 
							 - Parti Socialiste (Belgium)","1970-02-12","Rocourt","ue[dot]aporue.lraporue[at]snameluec.elletse",NA,"https://www.facebook.com/people/Estelle-Ceulemans/pfbid029uPZFcbmq5rgUHDLpgNvPJ3yXefnbKB7rL8KXujtmkWtdkcw6Jqr6T9WGpiiADcTl/","https://www.instagram.com/estelle.ceulemans/",NA,"https://estelleceulemans.be/",NA,NA,NA,NA
"Mohammed Chahim","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Netherlands
						 
							 - Partij van de Arbeid (Netherlands)","1985-04-18","Fes","ue[dot]aporue.lraporue[at]mihahc.demmahom","https://twitter.com/MChahim",NA,NA,NA,NA,NA,NA,NA,NA
"Leila Chaibi","The Left group in the European Parliament - GUE/NGL","France
						 
							 - La France Insoumise (France)","1982-10-05","Dijon","ue[dot]aporue.lraporue[at]ibiahc.aliel","https://twitter.com/leilachaibi","https://www.facebook.com/pg/leilachaibifi","https://www.instagram.com/leileila_chaibi/?hl=de",NA,"https://leilachaibi.fr/",NA,NA,NA,NA
"Olivier Chastel","Renew Europe Group","Belgium
						 
							 - Mouvement Réformateur (Belgium)","1964-11-22","Liège","ue[dot]aporue.lraporue[at]letsahc.reivilo",NA,"https://www.facebook.com/OlivierChastel/","https://www.instagram.com/ochastel/",NA,NA,NA,NA,NA,NA
"Caterina Chinnici","Group of the European People's Party (Christian Democrats)","Italy
						 
							 - Forza Italia (Italy)","1954-11-05","Palermo","ue[dot]aporue.lraporue[at]icinnihc.aniretac","https://twitter.com/CaterinaChinnic","https://www.facebook.com/CaterinaChinnic/","https://www.instagram.com/caterinachinnici_official/",NA,NA,NA,NA,NA,NA
"Asger Christensen","Renew Europe Group","Denmark
						 
							 - Venstre, Danmarks Liberale Parti (Denmark)","1958-01-08","Tarm","ue[dot]aporue.lraporue[at]nesnetsirhc.regsa",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carlo Ciccioli","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1952-11-19","Ancona","ue[dot]aporue.lraporue[at]iloiccic.olrac",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Veronika Cifrová Ostrihoňová","Renew Europe Group","Slovakia
						 
							 - Progresívne Slovensko (Slovakia)","1989-02-03","Bratislava","ue[dot]aporue.lraporue[at]avonohirtso.akinorev","https://x.com/veronikacifrova?s=21&t=ghjIPvI9G-7HJnuAj6ddVA",NA,"https://www.instagram.com/veronikaostrihonova/",NA,NA,NA,NA,NA,NA
"Alessandro Ciriani","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1970-08-02","Pordenone","ue[dot]aporue.lraporue[at]inairic.ordnassela",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Anna Maria Cisint","Patriots for Europe Group","Italy
						 
							 - Lega (Italy)",NA,NA,"ue[dot]aporue.lraporue[at]tnisic.anna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Per Clausen","The Left group in the European Parliament - GUE/NGL","Denmark
						 
							 - Enhedslisten (Denmark)","1955-02-20","Kongsvinger","ue[dot]aporue.lraporue[at]nesualc.rep",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Christophe Clergeau","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","France
						 
							 - Parti socialiste (France)","1968-09-01","Nantes","ue[dot]aporue.lraporue[at]uaegrelc.ehpotsirhc","https://twitter.com/clergeau","https://www.facebook.com/clergeau","https://www.instagram.com/christophe.clergeau.ue/","https://www.linkedin.com/in/clergeau",NA,NA,NA,NA,NA
"David Cormand","Group of the Greens/European Free Alliance","France
						 
							 - Les Écologistes (France)","1974-11-30","Mont Saint Aignan","ue[dot]aporue.lraporue[at]dnamroc.divad","https://twitter.com/DavidCormand","https://www.facebook.com/david.cormand",NA,NA,"https://www.davidcormand.fr/",NA,NA,NA,NA
"Annalisa Corrado","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1973-09-08","CIVITAVECCHIA","ue[dot]aporue.lraporue[at]odarroc.asilanna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vivien Costanzo","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1990-02-06","HEPPENHEIM","ue[dot]aporue.lraporue[at]oznatsoc.neiviv",NA,NA,NA,NA,NA,NA,NA,NA,NA
"João Cotrim De Figueiredo","Renew Europe Group","Portugal
						 
							 - Iniciativa Liberal (Portugal)","1961-06-24","Lisbon","ue[dot]aporue.lraporue[at]mirtoc.oaoj",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barry Cowen","Renew Europe Group","Ireland
						 
							 - Fianna Fáil Party (Ireland)","1967-08-28","Dublin","ue[dot]aporue.lraporue[at]newoc.yrrab",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tobias Cremer","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Germany
						 
							 - Sozialdemokratische Partei Deutschlands (Germany)","1992-06-30","Bochum","ue[dot]aporue.lraporue[at]remerc.saibot",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carmen Crespo Díaz","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]zaidopserc.nemracairam","https://x.com/carmencrespopp",NA,"https://www.instagram.com/carmencrespo.diaz/",NA,NA,NA,NA,NA,NA
"Andi Cristea","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Romania
						 
							 - Partidul Social Democrat (Romania)",NA,NA,"ue[dot]aporue.lraporue[at]aetsirc.idna",NA,NA,"http://www.instagram.com/andicristea.ro/",NA,NA,NA,NA,NA,NA
"Giovanni Crosetto","European Conservatives and Reformists Group","Italy
						 
							 - FRATELLI D' ITALIA (Italy)","1990-08-12","Savigliano","ue[dot]aporue.lraporue[at]ottesorc.innavoig",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Paulo Cunha","Group of the European People's Party (Christian Democrats)","Portugal
						 
							 - Partido Social Democrata (Portugal)","1971-08-22","Vila Nova de Famalicao","ue[dot]aporue.lraporue[at]ahnucsotam.erdnaxelaoluap","https://x.com/PauloCunhaVNF","https://www.facebook.com/paulocunha.famalicao","https://www.instagram.com/paulomatoscunha/","https://www.linkedin.com/in/paulo-cunha-1177a1227/",NA,NA,NA,NA,NA
"Henrik Dahl","Group of the European People's Party (Christian Democrats)","Denmark
						 
							 - Liberal Alliance (Denmark)","1960-02-20","Aarhus","ue[dot]aporue.lraporue[at]lhad.kirneh","https://x.com/sociologenhd",NA,"https://www.instagram.com/denhenrikdahl/",NA,NA,NA,NA,NA,NA
"Johan Danielsson","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Sweden
						 
							 - Arbetarepartiet- Socialdemokraterna (Sweden)","1982-06-30","Borlange","ue[dot]aporue.lraporue[at]nossleinad.nahoj",NA,"https://www.facebook.com/johandanielssons","https://www.instagram.com/johandanielsson_s/",NA,NA,NA,NA,NA,NA
"Marie Dauchy","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1987-02-05","Calais","ue[dot]aporue.lraporue[at]yhcuad.eiram",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dóra Dávid","Group of the European People's Party (Christian Democrats)","Hungary
						 
							 - Tisztelet és Szabadság Párt (Hungary)",NA,NA,"ue[dot]aporue.lraporue[at]divad.arod",NA,NA,"https://www.instagram.com/doradavidmep/",NA,NA,NA,NA,NA,NA
"Ivan David","Europe of Sovereign Nations Group","Czechia
						 
							 - Svoboda a přímá demokracie (Czechia)","1952-09-24",NA,"ue[dot]aporue.lraporue[at]divad.navi",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antonio Decaro","Group of the Progressive Alliance of Socialists and Democrats in the European Parliament","Italy
						 
							 - Partito Democratico (Italy)","1970-07-17","Bari","ue[dot]aporue.lraporue[at]oraced.oinotna",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Raúl De La Hoz Quintano","Group of the European People's Party (Christian Democrats)","Spain
						 
							 - Partido Popular (Spain)",NA,NA,"ue[dot]aporue.lraporue[at]zohaled.luar","https://x.com/raulhoz?s=11","https://www.facebook.com/raulhozquintano","https://www.instagram.com/raulhozquintano?igsh=MWh6dm8yYTVoMHVlZQ==",NA,NA,NA,NA,NA,NA
"Danilo Della Valle","The Left group in the European Parliament - GUE/NGL","Italy
						 
							 - Movimento 5 Stelle (Italy)","1983-02-01","Capua","ue[dot]aporue.lraporue[at]ellavalled.olinad","https://x.com/dani_dellavalle?s=21&t=v9yqxU-VlZX98bNKKUToPQ","https://www.facebook.com/DaniloDellaValleM5S","https://www.instagram.com/danilo_della_valle?igsh=MTU5MzlmbDVlYXU1cw==",NA,NA,NA,NA,NA,NA
"Valérie Deloge","Patriots for Europe Group","France
						 
							 - Rassemblement national (France)","1966-05-09","Fontenay-aux-Roses","ue[dot]aporue.lraporue[at]egoled.eirelav","https://x.com/ValerieDeloge","https://www.facebook.com/ValerieDelogeRN","https://www.instagram.com/valerie.deloge/",NA,"https://valeriedeloge.fr/","https://www.youtube.com/@Val%C3%A9rieDelogeRN",NA,NA,NA
